Player,Game Date,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,SAT Dif,SAT,Attempts,Hits
Cale Makar,2024-05-15,COL,R,D,1,2,0,2,0,0,2,1,1,1,1,0,0,0,1,5,40,26:46,--,9,29,8,0
Artturi Lehkonen,2024-05-15,COL,L,L,1,1,1,2,1,2,2,0,1,1,1,0,0,0,0,2,50,21:46,100,3,17,5,3
Nathan MacKinnon,2024-05-15,COL,R,C,1,1,1,2,1,0,2,1,1,0,1,0,0,0,0,2,50,24:20,36.4,6,25,5,1
Casey Mittelstadt,2024-05-15,COL,L,C,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,100,15:41,43.8,9,16,1,1
Zach Parise,2024-05-15,COL,L,L,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,12:45,--,3,13,3,2
Josh Manson,2024-05-15,COL,R,D,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,5,0,21:14,--,9,18,7,8
Jonathan Drouin,2024-05-15,COL,L,L,1,0,1,1,1,2,1,0,0,0,1,0,0,0,0,1,0,24:04,57.1,8,26,4,4
Mikko Rantanen,2024-05-15,COL,L,R,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,3,0,20:20,20,11,21,4,1
Samuel Girard,2024-05-15,COL,L,D,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,19:50,--,7,20,3,0
Jack Johnson,2024-05-15,COL,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:57,--,-9,6,0,0
Andrew Cogliano,2024-05-15,COL,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:40,0,-3,4,0,0
Miles Wood,2024-05-15,COL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,15:39,--,-4,11,3,3
Devon Toews,2024-05-15,COL,L,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,24:20,--,10,26,7,0
Yakov Trenin,2024-05-15,COL,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:16,50,-1,3,0,1
Brandon Duhaime,2024-05-15,COL,L,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6:23,--,-1,5,3,4
Ross Colton,2024-05-15,COL,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13:19,66.7,-2,12,5,3
Sean Walker,2024-05-15,COL,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,14:24,--,-10,7,1,3
Joel Kiviranta,2024-05-15,COL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11:57,0,-5,6,2,2
