Player,Game Date,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,Attempts,SAT Dif,SAT,Hits
Joe Pavelski,2024-05-15,DAL,R,C,1,1,1,2,0,0,2,1,1,0,1,0,0,0,0,3,33.3,18:44,50,6,-3,9,2
Jason Robertson,2024-05-15,DAL,L,L,1,0,2,2,0,0,2,0,1,0,1,0,0,0,0,0,--,18:55,--,1,-4,12,0
Miro Heiskanen,2024-05-15,DAL,L,D,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,100,27:59,--,8,7,24,2
Logan Stankoven,2024-05-15,DAL,R,C,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2,50,15:00,--,3,3,18,1
Matt Duchene,2024-05-15,DAL,L,C,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,13:32,44.4,3,-8,7,1
Esa Lindell,2024-05-15,DAL,L,D,1,0,1,1,-2,0,1,0,1,0,0,0,0,0,0,0,--,23:00,--,0,-12,16,2
Ryan Suter,2024-05-15,DAL,L,D,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,17:56,--,3,5,17,3
Jamie Benn,2024-05-15,DAL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17:59,66.7,7,1,13,3
Evgenii Dadonov,2024-05-15,DAL,L,R,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,12:15,--,3,-2,9,1
Craig Smith,2024-05-15,DAL,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10:57,--,1,-6,9,0
Chris Tanev,2024-05-15,DAL,R,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,19:59,--,2,-5,18,0
Tyler Seguin,2024-05-15,DAL,R,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,16:37,64.3,3,-4,9,0
Radek Faksa,2024-05-15,DAL,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12:24,58.3,4,-4,11,2
Mason Marchment,2024-05-15,DAL,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,13:27,0,1,-1,9,1
Sam Steel,2024-05-15,DAL,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,13:55,25,0,-5,10,2
Nils Lundkvist,2024-05-15,DAL,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:28,--,0,-1,1,0
Thomas Harley,2024-05-15,DAL,L,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,22:33,--,6,-10,14,0
Wyatt Johnston,2024-05-15,DAL,R,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,20:29,55.6,8,9,19,2
